track_id,num_frames,first_frame,last_frame,mean_conf,mean_w,mean_h
640,12,264,280,0.4432562117775281,125.66644287109375,220.48471069335938
12,11,0,12,0.2839828296141191,71.42065984552556,46.17704079367898
135,10,93,104,0.3840355187654495,221.83226470947267,114.77161254882813
923,10,337,348,0.3813683420419693,174.04390411376954,81.39080200195312
731,10,289,299,0.3369586706161499,41.59990234375,36.92469482421875
849,9,324,336,0.40644964906904435,85.57157770792644,92.30820041232639
330,9,164,172,0.38851404190063477,44.199991861979164,71.90220811631944
303,7,155,174,0.3809732369014195,37.20979527064732,41.711757114955354
150,7,106,112,0.346756854227611,20.707380022321427,29.96331787109375
310,6,157,162,0.43864840269088745,24.850565592447918,54.745320638020836
986,6,354,359,0.4105822642644246,100.82236735026042,65.326904296875
985,6,354,359,0.3440024256706238,93.5648701985677,39.24726359049479
577,5,243,248,0.4164902091026306,23.02598876953125,49.77928466796875
738,5,291,302,0.33237088918685914,31.2734619140625,97.3058349609375
11,5,0,67,0.3266933739185333,381.88873291015625,465.278466796875
343,5,168,185,0.3038943350315094,58.80830078125,33.562841796875
754,4,296,299,0.4442719891667366,49.093292236328125,61.14271545410156
788,4,304,307,0.44334444403648376,34.712615966796875,47.58033752441406
641,4,264,268,0.37046533823013306,81.70220947265625,159.74832153320312
369,4,177,181,0.3612366020679474,66.3626480102539,49.53764343261719
664,4,272,305,0.32844774425029755,143.33953094482422,89.04161071777344
993,3,357,359,0.44851431250572205,169.89640299479166,71.46681722005208
742,3,292,294,0.3831971784432729,75.04081217447917,38.988382975260414
110,3,82,84,0.3344310224056244,41.887532552083336,30.81683349609375
387,3,186,188,0.32488738497098285,55.793701171875,75.94443766276042
13,3,4,12,0.31526416540145874,55.464436848958336,44.460795084635414
662,3,271,274,0.312969168027242,86.18267822265625,67.63827514648438
60,2,58,59,0.3979746103286743,84.10928344726562,75.35736083984375
77,2,70,71,0.37947435677051544,53.22113037109375,28.10601806640625
160,2,111,113,0.3581704795360565,58.720458984375,50.699676513671875
721,2,284,285,0.3572603017091751,83.5567626953125,55.686065673828125
365,2,176,177,0.34115445613861084,47.001739501953125,34.557891845703125
407,2,192,193,0.33983199298381805,38.036834716796875,28.14202880859375
417,2,197,198,0.32450105249881744,68.640869140625,95.12945556640625
998,2,358,359,0.3184180110692978,61.1802978515625,36.599365234375
1001,1,359,359,0.47993355989456177,33.65924072265625,31.516082763671875
163,1,113,113,0.4736555218696594,37.4853515625,49.40301513671875
318,1,159,159,0.4437534213066101,43.17913818359375,35.84857177734375
994,1,357,357,0.44013506174087524,71.9798583984375,58.3720703125
899,1,332,332,0.42981216311454773,83.01329040527344,70.8822021484375
285,1,152,152,0.41252943873405457,86.36548614501953,69.63970947265625
948,1,341,341,0.3559077978134155,40.3590087890625,79.11740112304688
414,1,195,195,0.34759634733200073,92.84658813476562,192.3453369140625
249,1,145,145,0.3409954905509949,38.2962646484375,60.77667236328125
863,1,326,326,0.33321288228034973,146.02828979492188,75.63235473632812
